"Add new query","Dodaj nowe zapytanie"
"Edit","Edycja"
"Launch","Uruchom"
"Query name","Nazwa zapytania"
"Query list","Lista zapytań"
"Actions","Akcje"
"Edit query","Edycja zapytania"
"Details","Szczegóły"
"Name","Nazwa"
"Query text","Tekst zapytania"
"Query saved.","Zapytanie zostało zapisane"
"Query &quot;%s&quot; was deleted.","Zapytanie &quot;%s&quot; zostało usunięte."
"New query","Nowe zapytanie"
"Launch query","Wykonanie zapytania"
"Query","Zapytanie"
"Results","Wyniki"
"Raw sql querys","Zapytania SQL"
"Download CSV","Pobierz jako CSV"
