"Pick-Up Point","Punkt odbioru"
"Choose Pick-Up Point","Wybierz punkt odbioru"
"Cart","Koszyk"
"Delivery","Dostawa"
"Delivery and payment", "Dostawa i płatność"
"Payment choice","Wybór płatności"
"Shipping data", "Dane dostawy"
"Summary", "Podsumowanie"
"Sum:", "Suma:"
"Summary value", "Łączna wartość produktów"
"Change basket", "Zmień zawartość koszyka"
"To pay", "Do zapłaty"
"Your order", "Twoje zamówienie"
"No addresses", "Brak adresów"
"Edit address", "Edytuj adres"
"Add new address", "Dodaj nowy adres"
"Save", "Zapisz"
"Firstname", "Imię"
"Lastname", "Nazwisko"
"Company name", "Nazwa firmy"
"optional", "opcjonalnie"
"NIP", "NIP"
"Street and number", "Ulica i numer"
"Postcode", "Kod pocztowy"
"City", "Miasto"
"Phone", "Telefon"
"Address can't be removed.", "Adres nie może być usunięty"
"Email already exists. Please log in.", "Email istnieje. Proszę się zalogować"
"Please select payment", "Proszę wybrać płatność"
"Please select shipping", "Proszę wybrać dostawę"
"Selected shipping address", "Wybrany adres dostawy"
"Selected billing address", "Wybrany adres do faktury"
"Change address", "Zmień adres"
"Roll up", "Zwiń"
"Shipping address", "Adres dostawy"
"Confirm shipping data", "Potwierdź dane dostawy"
"Contact phone", "Telefon kontaktowy"
"edit", "edycja"
"remove", "usuń"
"set as default", "ustaw jako domyślny"
"Choose", "Wybierz"
"the address will be auto selected in future", "adres będzie domyślnie wybrany w przyszłości"
"Your additional addresses", "Twoje pozostałe adresy"
"Set as default payment", "wybierz jako domyślną opcję płatności (podpowiada przy kolejnych zakupach)"
"Payment method", "Sposób płatności"
"Shipping cost", "Koszt przesyłki"
"Shipping information", "Dane do wysyłki"
"Confirm delivery and payment method", "Potwierdź sposób dostawy i płatności"
"Place order","Złóż zamówienie"
"Delivery address", "Adres dostawy"
"Invoice data", "Dane do faktury"
"Invoice", "Faktura"
"Paragon", "Paragon"
"Pho.", "Tel."
"Change", "Zmień"
"Delivery type", "Rodzaj dostawy"
"Payment type", "Rodzaj płatności"
"Bank", "Bank"
"VAT Id", "NIP"
"Pho.", "Tel."
"Quantity", "Ilość"
"Product total","Wartość produktów"
"Roll products", "Zwiń produkty"
"Order now", "Zamawiam"
"Show products", "Pokaż produkty"
"Some of the products are currently out of stock.","Niektóre produkty w koszyku nie są juz dostępne na magazynie. Usuń te produkty, aby przejść dalej."
"select payment type","zmień sposób płatności"
"cancel changes","porzuć zmianę"
"Bank", "Bank"
"Please select bank", "Proszę wybrać bank"
"Please select payment type","Proszę wybrać sposób płatności"
"Please select card type","Proszę wybrać rodzaj karty"
"Qty", "Ilość"
"Order now and pay", "Zamawiam i płacę"
"Product %s size %s was removed from cart because is out of stock.","Produkt %s rozmiar %s został usunięty z koszyka z powodu braku dostępności na magazynie."
"Product %s was removed from cart because is out of stock.","Produkt %s został usunięty z koszyka z powodu braku dostępności na magazynie."
"Vendor","Sprzedawca"
"Minimal shipping cost","Koszt dostawy od"
"Shipping rules and cost","Warunki i koszty dostawy"
"Products count","Ilość produktów"
"Products worth","Wartość produktów"
"Shipping cost","Koszt dostawy"
"See your cart","Zobacz koszyk"
"SEE THIS ORDER IN YOUR ACCOUNT >","ZOBACZ ZAMÓWIENIE W SWOIM KONCIE >"
"YOUR ORDER NUMBER: ","TWÓJ NUMER ZAMÓWIENIA: "
"No products in basket.","Brak produktów w koszyku."
"Remove my data from device","Usuń moje dane z urządzenia"
"Kod został wprowadzony poprawnie, ale nie znaleźliśmy takiego kodu w bazie adresowej. Sprawdź proszę jeszcze poprawność kodu pocztowego.","Kod został wprowadzony poprawnie, ale nie znaleźliśmy takiego kodu w bazie adresowej. Sprawdź proszę jeszcze poprawność kodu pocztowego."
"This agreement is required","Ta zgoda jest wymagana"
"This agreement is required. Provided data will be used only in order realization process.","Ta zgoda jest obowiązkowa. Twoje dane będą wykorzystane tylko do realizacji zamówienia."
"Your order is saving","Twoje zamówienie jest zapisywane"
"In a few moments you will be redirected to payment page","Zaraz nastąpi przekierowanie na stronę płatności"
"ships within %s days","czas dostawy %s dni"
"Select delivery","Wybierz opcję dostawy"
"Choose locker","Wybierz paczkomat"
"City","Miasto"
"Select City","Wybierz miasto"
"Address","Adres"
"Choose city first","Najpierw wybierz miasto"
"show nearest","pokaż najbliższe"
"hide nearest","schowaj najbliższe"
"show map","pokaż mapę"
"hide map","schowaj mapę"
"choose","wybierz"
"Nearest","Najbliższe"
"In a few moments you will be redirected to payment page","Zaraz nastąpi przekierowanie na stronę płatności"
"Locker InPost","Paczkomat InPost"
"Address data","Dane adresowe"
"The phone number is required to receive package from locker.","Numer telefonu jest potrzebny do odbioru paczki z paczkomatu."
"We do not use it in any other way without your permission!","Nie wykorzystamy go w inny sposób bez Twojej zgody!"
"Delivery data","Dane dostawy"
"Data for invoice","Dane do faktury"
"I want to receive an invoice","Chcę otrzymać fakturę VAT"
"Delivery cost:","Koszt dostawy:"
"Remove product","Usuń produkt"
"Choose point","Wybierz punkt"

