"Your coupon code: ","Twój kod rabatowy: "
"My promotions","Moje kody rabatowe"
"could not copy coupon","nie udało się skopiować kuponu"
"coupon copied","kod skopiowano"
"Rule name","Nazwa promocji"
"Promotion type","Typ promocji"
"Campaign name","Nazwa kampanii"
"Rule payer","Kto finansuje"
"Coupon code","Kod kuponu"
"Expiration date","Ważny do"
"Times used","Ile razy wykorzystany"
"Rule is active","Czy promocja aktywna"
"Standard","Standardowa"
"For subscribers","Dla subskrybentów"
"Total basket value","Całkowita wartość koszyka"
